,column,value,precision,recall,fbeta
0,workclass,State-gov,0.9325842696629213,0.9405099150141643,0.936530324400564
1,workclass,Self-emp-not-inc,0.9311926605504587,0.8411602209944752,0.88388969521045
2,workclass,Private,0.8769100169779287,0.8325609510376788,0.8541602067183462
3,workclass,Federal-gov,0.9324324324324325,0.9299191374663073,0.931174089068826
4,workclass,Local-gov,0.9380378657487092,0.8833063209076175,0.9098497495826378
5,workclass,?,0.8888888888888888,0.837696335078534,0.862533692722372
6,workclass,Self-emp-inc,0.9350237717908082,0.9485530546623794,0.9417398244213886
7,workclass,Without-pay,1.0,1.0,1.0
8,workclass,Never-worked,1.0,1.0,1.0
9,education,Bachelors,0.9041034790365745,0.9126519585772175,0.9083576069908135
10,education,HS-grad,0.8473227206946454,0.6991044776119403,0.7661105659142949
11,education,11th,0.8771929824561403,0.8333333333333334,0.8547008547008548
12,education,Masters,0.9534391534391534,0.9395203336809176,0.9464285714285714
13,education,9th,0.8214285714285714,0.8518518518518519,0.8363636363636364
14,education,Some-college,0.8600148920327625,0.832732516222062,0.8461538461538461
15,education,Assoc-acdm,0.9122137404580153,0.9018867924528302,0.9070208728652752
16,education,Assoc-voc,0.8828571428571429,0.8559556786703602,0.869198312236287
17,education,7th-8th,0.8372093023255814,0.9,0.8674698795180723
18,education,Doctorate,0.9706840390879479,0.9738562091503268,0.9722675367047308
19,education,Prof-school,0.9761336515513126,0.966903073286052,0.9714964370546317
20,education,5th-6th,0.9285714285714286,0.8125,0.8666666666666666
21,education,10th,0.85,0.8225806451612904,0.8360655737704918
22,education,1st-4th,1.0,0.5,0.6666666666666666
23,education,Preschool,1.0,1.0,1.0
24,education,12th,0.9655172413793104,0.8484848484848485,0.9032258064516129
25,marital-status,Never-married,0.9477611940298507,0.7759674134419552,0.8533034714445688
26,marital-status,Married-civ-spouse,0.8894704433497537,0.8634190077704722,0.8762511373976343
27,marital-status,Divorced,0.9330143540669856,0.8423326133909287,0.8853575482406356
28,marital-status,Married-spouse-absent,0.9696969696969697,0.9411764705882353,0.955223880597015
29,marital-status,Separated,0.9821428571428571,0.8333333333333334,0.9016393442622951
30,marital-status,Married-AF-spouse,1.0,0.8,0.888888888888889
31,marital-status,Widowed,0.971830985915493,0.8117647058823529,0.8846153846153846
32,occupation,Adm-clerical,0.891213389121339,0.8402366863905325,0.86497461928934
33,occupation,Exec-managerial,0.9169620253164557,0.9202235772357723,0.9185899061628202
34,occupation,Handlers-cleaners,0.863013698630137,0.7325581395348837,0.7924528301886793
35,occupation,Prof-specialty,0.934640522875817,0.9230769230769231,0.9288227334235454
36,occupation,Other-service,0.9310344827586207,0.7883211678832117,0.8537549407114624
37,occupation,Sales,0.8757763975155279,0.8606307222787386,0.8681375064135454
38,occupation,Craft-repair,0.8080301129234629,0.6932185145317545,0.7462340672074159
39,occupation,Transport-moving,0.845360824742268,0.76875,0.8052373158756138
40,occupation,Farming-fishing,0.9368421052631579,0.7739130434782608,0.8476190476190476
41,occupation,Machine-op-inspct,0.8195876288659794,0.636,0.7162162162162163
42,occupation,Tech-support,0.910394265232975,0.8975265017667845,0.9039145907473309
43,occupation,?,0.8888888888888888,0.837696335078534,0.862533692722372
44,occupation,Protective-serv,0.9356435643564357,0.8957345971563981,0.9152542372881357
45,occupation,Armed-Forces,1.0,1.0,1.0
46,occupation,Priv-house-serv,1.0,1.0,1.0
47,relationship,Not-in-family,0.9393530997304582,0.8142523364485982,0.8723404255319149
48,relationship,Husband,0.8864628820960698,0.8575532274417033,0.8717684445589624
49,relationship,Wife,0.9103078982597055,0.912751677852349,0.9115281501340483
50,relationship,Own-child,0.9821428571428571,0.8208955223880597,0.8943089430894309
51,relationship,Unmarried,0.9617486338797814,0.8073394495412844,0.8778054862842893
52,relationship,Other-relative,0.967741935483871,0.8108108108108109,0.8823529411764706
53,race,White,0.894133215703573,0.8544330476324294,0.8738324471906883
54,race,Black,0.9148351648351648,0.8604651162790697,0.8868175765645805
55,race,Asian-Pac-Islander,0.9431818181818182,0.9021739130434783,0.9222222222222224
56,race,Amer-Indian-Eskimo,0.9032258064516129,0.7777777777777778,0.835820895522388
57,race,Other,0.9166666666666666,0.88,0.8979591836734694
58,sex,Male,0.8923534942024444,0.854848393875713,0.8731984053971175
59,sex,Female,0.9237749546279492,0.8634435962680237,0.8925909688733011
60,native-country,United-States,0.8934738074334211,0.8514851485148515,0.8719742948946805
61,native-country,Cuba,0.9615384615384616,1.0,0.9803921568627451
62,native-country,Jamaica,0.9090909090909091,1.0,0.9523809523809523
63,native-country,India,0.9024390243902439,0.925,0.9135802469135802
64,native-country,?,0.8979591836734694,0.9041095890410958,0.901023890784983
65,native-country,Mexico,0.9655172413793104,0.8484848484848485,0.9032258064516129
66,native-country,South,0.9285714285714286,0.8125,0.8666666666666666
67,native-country,Puerto-Rico,0.8571428571428571,1.0,0.923076923076923
68,native-country,Honduras,1.0,1.0,1.0
69,native-country,England,0.896551724137931,0.8666666666666667,0.8813559322033899
70,native-country,Canada,0.926829268292683,0.9743589743589743,0.9500000000000001
71,native-country,Germany,0.975609756097561,0.9090909090909091,0.9411764705882352
72,native-country,Iran,0.9444444444444444,0.9444444444444444,0.9444444444444444
73,native-country,Philippines,0.9523809523809523,0.9836065573770492,0.9677419354838709
74,native-country,Italy,0.95,0.76,0.8444444444444444
75,native-country,Poland,1.0,0.8333333333333334,0.9090909090909091
76,native-country,Columbia,0.6666666666666666,1.0,0.8
77,native-country,Cambodia,1.0,0.7142857142857143,0.8333333333333333
78,native-country,Thailand,1.0,0.6666666666666666,0.8
79,native-country,Ecuador,1.0,1.0,1.0
80,native-country,Laos,1.0,1.0,1.0
81,native-country,Taiwan,1.0,0.95,0.9743589743589743
82,native-country,Haiti,1.0,0.75,0.8571428571428571
83,native-country,Portugal,1.0,0.75,0.8571428571428571
84,native-country,Dominican-Republic,1.0,0.5,0.6666666666666666
85,native-country,El-Salvador,1.0,1.0,1.0
86,native-country,France,1.0,0.8333333333333334,0.9090909090909091
87,native-country,Guatemala,1.0,1.0,1.0
88,native-country,China,0.8947368421052632,0.85,0.8717948717948718
89,native-country,Japan,0.9166666666666666,0.9166666666666666,0.9166666666666666
90,native-country,Yugoslavia,1.0,1.0,1.0
91,native-country,Peru,1.0,0.5,0.6666666666666666
92,native-country,Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
93,native-country,Scotland,1.0,1.0,1.0
94,native-country,Trinadad&Tobago,1.0,1.0,1.0
95,native-country,Greece,0.8571428571428571,0.75,0.7999999999999999
96,native-country,Nicaragua,1.0,1.0,1.0
97,native-country,Vietnam,1.0,0.8,0.888888888888889
98,native-country,Hong,1.0,1.0,1.0
99,native-country,Ireland,1.0,1.0,1.0
100,native-country,Hungary,1.0,0.6666666666666666,0.8
101,native-country,Holand-Netherlands,1.0,1.0,1.0
